id;mark;
A10628;TATTOO, HAND, LEFT - COWBOY SKULL W/CROSSED BONES;
A10654;MOLE, ARM, LEFT - MOLE ARM, LEFT;
A10654;DISCOLORATION. LEG, RIGHT - MARK LEG, RIGHT;
A10654;MOLE, BACK - MOLE BACK;
A10654;SCAR, ABDOMEN - SCAR ON ABDOMEN;
A10654;DISCOLORATION, SHOULDER, LEFT - MARK SHOULDER, LEFT;
A10656;TATTOO, FOREARM, RIGHT - HAT,\"HUNT\",CACTUS,MUSTACHE;
A10656;TATTOO, FOREARM, LEFT - TWO INDIANS;
A10656;TATTOO, SHOULDER, RIGHT - HEARTS,KIMMY,SHANNON,ROSE,LOCK;
A10656;TATTOO, CHEST - BEAR,LOG(L FNGR)THORN RING;
A10656;TATTOO, ARM, LEFT UPPER - CROSS,RIBBON;
A10695;SCAR, EYEBROW, LEFT (EYE AREA) -;
A10695;SCAR, ABDOMEN -;
A10763;SCAR, HAND, RIGHT - SCAR HAND, RIGHT;
A10763;SCAR, HAND, LEFT - SCAR HAND, LEFT;
A10763;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A10763;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A10859;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A10859;TATTOO, ARM, LEFT - TATTOO ARM, LEFT;
A10859;TATTOO, ARM, RIGHT - TATTOO ARM, RIGHT;
A10883;GLASSES (PRESCRIPTION) -;
A10883;PIERCED EARS - LX2;
A10883;TATTOO, CHEST - HEART,KIM;
A10883;TATTOO, FOREARM, LEFT - HEART W/ BEN LOVES EDDIE FOREVER;
A10913;SCAR, NOSE - BRIDGE OF NOSE, SLIGHT SCAR;
A10913;SCAR, WRIST, LEFT - SCAR;
A10935;TATTOO, BACK - NORDIC GODS;
A10935;SCAR, HAND, LEFT - MISSING INDEX FINGER;
A10935;TATTOO, ARM, LEFT UPPER - VIKING, WHITE, SKULL ARM BAND;
A10935;TATTOO, SHOULDER, RIGHT - SWASTIKA;
A10935;TATTOO, FOREARM, LEFT - SKULL HELMET,SWASTIKA, SHIP,VIK;
A10936;NONE RECORDED;
A10938;TATTOO, FOREARM, RIGHT - SWORD , \"C\";
A10938;TATTOO, ARM, RIGHT UPPER - \"ROY\";
A10939;SCAR, BACK - SCAR BACK;
A10940;TATTOO, ARM, RIGHT UPPER - \"MT\";
A10940;TATTOO, CHEST - TOP HAT,CANE,\"CEVL\";
A10940;SCAR, KNEE, RIGHT - SCAR KNEE, RIGHT;
A10940;TATTOO, ARM, LEFT - TOP HAT,CANE,\"BB\",\"KING TERRY\"..;
A10940;MOLE, LIP, UPPER - MOLE LIP, UPPER;
A10951;TATTOO, CHEST - TOP HAT W/ CANE \"CBL\";
A10951;TATTOO, ABDOMEN - \"love bone\";
A10951;TATTOO, NECK - 2 LIGHTNING BOLTS;
A10951;SCAR, ANKLE, LEFT - SCAR ANKLE, LEFT;
A10951;TATTOO, WRIST, RIGHT - 5PT STAR;
A10970;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A10970;TATTOO, ARM, LEFT - TAT OF NAME UNRECOGNIZABLE;
A11005;DISCOLORATION. ARM, RIGHT - MARK ARM, RIGHT;
A11030;TATTOO, ARM, LEFT - HEART;
A11030;TATTOO, FINGER(S), LEFT HAND - 'LOVE';
A11030;SCAR, FOREHEAD -;
A11030;TATTOO, ARM, RIGHT - BANNER\;'MM';
A11030;TATTOO, SHOULDER, LEFT - 'JAKE'\;PEACE SIGN;
A11128;TATTOO, ARM, LEFT UPPER - SKULL W/RIBBONS;
A11128;SCAR, SIDE, LEFT - SCAR SIDE, LEFT;
A15031;NONE RECORDED;
A15096;TATTOO, FOREARM, LEFT - \"C.V.L.\";
A15096;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A15096;TATTOO, CHEST - LEFT SIDE:TOP HAT & CANE,\"4\".C.H;
A15096;NEEDLE MARKS, ARM, RIGHT - NEEDLE MARKS ARM, RIGHT;
A15096;NEEDLE MARKS, ARM, LEFT - NEEDLE MARKS ARM, LEFT;
A15110;SCAR, WRIST, LEFT - SCAR WRIST, LEFT;
A15155;NONE RECORDED;
A15167;TATTOO, CHEST - \"CVL\", TOPHAT CANE GLOVE;
A15167;SCAR, BACK - SCAR BACK;
A15167;TATTOO, ARM, LEFT - \"IN/S\";
A15167;SCAR, ABDOMEN - SCAR STOMACH;
A15167;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A15172;SCAR, ARM, LEFT -;
A15172;SCAR, ABDOMEN -;
A15172;SCAR, KNEE, RIGHT -;
A15172;TATTOO, ARM, LEFT - WINGS/AMERICAN EAGLE/ARMY;
A15182;TATTOO, ARM, RIGHT - SCOOP LOVE STONE;
A15182;TATTOO, ARM, LEFT - CYTHE, HEART D.S.;
A15182;TATTOO, BACK - GLENIA, JEAN, ROSE;
A15182;SCAR, FOREHEAD - ON RIGHT SIDE;
A15205;SCAR, HAND, LEFT -;
A15205;TATTOO, ARM, LEFT - G S;
A15205;SCAR, ARM, RIGHT -;
A15210;SCAR, LEG, RIGHT -;
A15210;SCAR, ABDOMEN -;
A15211;TATTOO, ARM, LEFT - STANLEY, P.;
A15212;TATTOO, ARM, LEFT - LION, \"J\",NAKED WOMAN,\"BB\";
A15212;TATTOO, ARM, RIGHT - \"DH\",TROJAN HELMET,AX MAN WALKIN;
A15212;TATTOO, ARM, RIGHT - \"BOBO\",\"TINA\", SHIELD/HELMET;
A15212;TATTOO, CHEST - HEART,\"JANET\",\"BOBO\";
A15243;TATTOO, HAND, LEFT -;
A15306;MEDICAL CONDITION - ACNE - ACNE FACE;
A15306;SCAR, BUTTOCK, LEFT - SCAR BUTTOCK, LEFT;
A15306;MEDICAL CONDITION - ACNE - ACNE BODY;
A15324;SCAR, SHOULDER, LEFT - SCAR SHOULDER, LEFT;
A15324;SCAR, NECK - SCAR NECK;
A15336;SCAR, NECK - SCAR NECK;
A15347;SCAR, FINGER(S), RIGHT HAND - SCAR FINGER(S), RIGHTHAND;
A15347;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A15380;TATTOO, ARM, LEFT UPPER - DIAMOND;
A15380;TATTOO, FOREARM, LEFT - \"SHILL\";
A15385;SCAR, NECK - STAB WND LFT SD NECK;
A15421;DISCOLORATION, SHOULDER, LEFT - MARK SHOULDER, LEFT;
A15423;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A15423;TATTOO, ARM, LEFT - TATTOO ARM, LEFT;
A15491;NONE RECORDED;
A15497;SCAR, ABDOMEN - SCAR ON ABDOMEN;
A15561;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A15580;SCAR, HEAD, NONSPECIFIC - BURNS;
A15580;SCAR, ARM, LEFT UPPER - LACERATION;
A15580;SCAR, LEG, LEFT - GUNSHOT WOUND;
A15580;TATTOO, FOREARM, LEFT - FLOWER;
A15590;SCAR, ABDOMEN - SCAR STOMACH;
A15590;SCAR, FOREHEAD - SCAR FOREHEAD;
A15590;SCAR, SIDE, LEFT - SCAR SIDE, LEFT;
A15590;SCAR, NOSE - SCAR NOSE;
A15602;TATTOO, FOREARM, RIGHT - $ POOKIE & GREG;
A15602;TATTOO, ARM, LEFT UPPER - DOT;
A15602;SCAR, BACK - SCAR BACK;
A15612;SCAR, ELBOW, RIGHT - SCAR ELBOW, RIGHT;
